"filename", "language", "Python", "Shell Script", "Markdown", "comment", "blank", "total"
"/Users/keremokyay/cs-master/year2/lmeca2170/lmeca2170-homework/DelaunayTriangulation/dragon_attack.sh", "Shell Script", 0, 13, 0, 6, 5, 24
"/Users/keremokyay/cs-master/year2/lmeca2170/lmeca2170-homework/DelaunayTriangulation/run_debug.sh", "Shell Script", 0, 5, 0, 5, 6, 16
"/Users/keremokyay/cs-master/year2/lmeca2170/lmeca2170-homework/DelaunayTriangulation/run_test.sh", "Shell Script", 0, 12, 0, 7, 7, 26
"/Users/keremokyay/cs-master/year2/lmeca2170/lmeca2170-homework/DelaunayTriangulation/src/delaunay.py", "Python", 109, 0, 0, 35, 17, 161
"/Users/keremokyay/cs-master/year2/lmeca2170/lmeca2170-homework/DelaunayTriangulation/src/genpts.py", "Python", 14, 0, 0, 2, 12, 28
"/Users/keremokyay/cs-master/year2/lmeca2170/lmeca2170-homework/DelaunayTriangulation/src/gui.py", "Python", 179, 0, 0, 25, 53, 257
"/Users/keremokyay/cs-master/year2/lmeca2170/lmeca2170-homework/DelaunayTriangulation/src/halfedge.py", "Python", 57, 0, 0, 9, 9, 75
"/Users/keremokyay/cs-master/year2/lmeca2170/lmeca2170-homework/DelaunayTriangulation/src/proj_utils.py", "Python", 133, 0, 0, 7, 24, 164
"/Users/keremokyay/cs-master/year2/lmeca2170/lmeca2170-homework/DelaunayTriangulation/src/triangularmesh.py", "Python", 559, 0, 0, 189, 149, 897
"/Users/keremokyay/cs-master/year2/lmeca2170/lmeca2170-homework/DelaunayTriangulation/tests/compare_files.py", "Python", 48, 0, 0, 4, 7, 59
"/Users/keremokyay/cs-master/year2/lmeca2170/lmeca2170-homework/DelaunayTriangulation/tests/del_test.py", "Python", 59, 0, 0, 12, 13, 84
"/Users/keremokyay/cs-master/year2/lmeca2170/lmeca2170-homework/DelaunayTriangulation/tests/hull_test.py", "Python", 22, 0, 0, 3, 5, 30
"/Users/keremokyay/cs-master/year2/lmeca2170/lmeca2170-homework/README.md", "Markdown", 0, 0, 17, 0, 9, 26
"Total", "-", 1180, 30, 17, 304, 316, 1847
